email,first_name,last_name,res_street,res_city,res_state,res_postcode,post_street,post_city,post_state,post_postcode,latitude,longitude
colton_tromp@gmail.com,Darcy,Waters,8540 Charli Summit,AIRLIE BEACH,QLD,4802,376 Williamson Hill,ARTHUR RIVER,WA,6315.0,-20.272494,148.7181466
lindsay_bradtke@gmail.com,Georgia,Stewart,650 Harris Summit,ARCTURUS,QLD,4722,477 Jasmine Circle,ALDINGA,SA,5173.0,-23.975733,148.3271145
jaime_kuphal@yahoo.com,Joshua,Schmidt,53 Klein Circle,AMBLESIDE,TAS,7310,2979 Anthony Drive,AMOR,VIC,3825.0,-41.2050163,146.3748003
odell.king@hotmail.com,Natalie,Smith,545 Summer Avenue,ALVIE,VIC,3249,5454 Koss Track,ANABRANCH SOUTH,NSW,2648.0,-38.2441811,143.5155992
carlos@hotmail.com,Cameron,Schneider,46 Becker Summit,ALLANSFORD,VIC,3277,3137 Lakin Station St,ALLANS FLAT,VIC,3691.0,-38.3862028,142.6001551
june@gmail.com,Oscar,King,727 Zoe Knoll,ADELAIDE RIVER,NT,846,71 Morissette Manor,AMHERST,VIC,3371.0,-13.2391966,131.1049874
linsey.blanda@hotmail.com,Mia,Flatley,15 Hannah Circle,ARMADALE,WA,6112,696 Jenkins Parkway,AMBERLEY,QLD,4306.0,-32.152266,116.0147457
roger.prohaska@gmail.com,Charles,Wilson,85 Isaac Terrace,ALEXANDRA HILLS,QLD,3161,5414 Leannon Crest,ALSACE,QLD,4702.0,-27.5232672,153.2214907
arthur@yahoo.com,Owen,Carter,9300 Moss Run,ANKETELL,WA,6167,99 Levi Summit,ADARE,QLD,4343.0,-32.2197553,115.8667368
barrett@yahoo.com,Ashley,Green,5023 Nader Lane,ANDAMOOKA,SA,5722,92 Bergstrom Run,ANTONYMYRE,WA,6714.0,-30.4509228,137.1644453
salvatore_schuppe@gmail.com,Aidan,Kuhlman,201 Durgan Mall,ANNADALE,SA,5356,26 Cassin Knoll,ALEXANDRA HEADLAND,QLD,4572.0,-34.3891665,139.3881387
karl@yahoo.com,Alexandra,Clarke,6591 Natalie Meadow,ARROWSMITH,WA,6525,8719 Adams Place,ANSONS BAY,TAS,7264.0,-29.554151,115.1158849
karyn.kub@gmail.com,Samantha,Champlin,79 Eve Pass,ADARE,QLD,4343,67 Erdman Island,AUGATHELLA,QLD,4477.0,-27.5097218,152.2961121
mackenzie_auer@gmail.com,Cameron,Haley,351 Heidi Court,ALPHINGTON,VIC,3078,460 Mccullough Manor,AIRVILLE,QLD,4807.0,-37.7783921,145.0312833
lea.cummings@hotmail.com,Daniel,Braun,80 Ernser Avenue,ANNADALE,SA,5356,89 Eva Boulevard,AIRLY,VIC,3851.0,-34.3891665,139.3881387
julian@yahoo.com,Luke,Dare,544 Sanford Pass,AYLMERTON,NSW,2575,715 Tremblay Street,ARTHUR RIVER,TAS,7330.0,-34.4185998,150.4953005
sandee@yahoo.com,Blake,Feeney,2442 Grimes Island,ASHMONT,NSW,2650,174 Isabelle Track,AVISFORD,NSW,2850.0,-35.1244827,147.3325101
twila_morar@yahoo.com,Bella,Lockman,8813 Emily Meadow,ARMSTRONG CREEK,VIC,3217,74 Ali Circuit,ALLWORTH,NSW,2425.0,-38.2341184,144.3709512
maryjo@yahoo.com,Lucy,Stokes,888 Mackenzie Ridge,AARONS PASS,NSW,2850,7423 Crooks Crest,ADAMSTOWN,NSW,2289.0,-32.8719444,149.8094444
phillip@gmail.com,Archie,Barton,41 Taylor View Rd,ANGLEDOOL,NSW,2834,796 Madison Crest,ALMONDS,VIC,3727.0,-29.1100681,147.9176423
sol@gmail.com,Jett,Monahan,8845 Braun Hill,ARMADALE,WA,6112,61 Emily Place,ANAMBAH,NSW,2320.0,-32.152266,116.0147457
aileen.berge@yahoo.com,Phoebe,Dare,823 O'neill Place,ALLENS RIVULET,TAS,7150,58 Walsh Trail,ARAKOON,NSW,2431.0,-43.01196,147.20886
ozie.herzog@gmail.com,Lachlan,Howell,91 Samantha Parkway,ADAMS ESTATE,VIC,3984,9367 Smyth Way,ALBANY,WA,6330.0,-38.4256928,145.5336237
deane_donnelly@gmail.com,Alexander,Walker,25 Grace Crescent,APPILA,SA,5480,8683 Leffler Boulevard,ANDERGROVE,QLD,4740.0,-33.0497098,138.4289329
ona@hotmail.com,Summer,Hand,24 Matilda Station St,ARCOONA,SA,5720,81 Bayer Loop,ABINGTON,QLD,4660.0,-31.1302928,137.1034847
oren.west@yahoo.com,Archie,Douglas,15 Alyssa Street,ALBION PARK RAIL,NSW,2527,2907 Isabelle Terrace,ABERFOYLE PARK,SA,5159.0,-34.5625775,150.7978168
todd@yahoo.com,Riley,West,2122 Goodwin Avenue,ARCADIA SOUTH,VIC,3631,2782 Carroll Street,ABERCORN,QLD,4627.0,-36.5931025,145.3812744
loreta.bernier@hotmail.com,Audrey,Rohan,264 Maya Station St,APPLECROSS,WA,6153,770 Mason Plaza,AITKENVALE,QLD,4814.0,-32.0137091,115.8366566
major_hermann@hotmail.com,Natalie,Hammes,33 Durgan Circle,AREEGRA,VIC,3480,1531 Victoria Parade,ARMIDALE,NSW,2350.0,-36.2320385,142.6799121
hunter@gmail.com,Edward,Parisian,62 Lachlan Run,ARKAROOLA VILLAGE,SA,5732,201 Khan Street,ANTIGUA,QLD,4650.0,-30.3118393,139.3353485
lanny.fay@gmail.com,Marcus,Kutch,2245 Jett Square,ARDROSSAN,SA,5571,7267 Chelsea Loop,ARCADIA,QLD,4819.0,-34.424675,137.915867
ruthie@yahoo.com,Eli,Wood,157 Amy Crest,ASHBOURNE,VIC,3442,8970 Eve Terrace,AURUKUN,QLD,4892.0,-37.411647,144.460357
jim@yahoo.com,Phoenix,Douglas,6855 Erdman Mews,ARIAH PARK,NSW,2665,237 Williams Way,ADJUNGBILLY,NSW,2727.0,-34.3488941,147.2175709
rima@gmail.com,Georgia,Adams,23 Bogan Parade,AGNES BANKS,NSW,2753,2053 Fay Run,ARCHIES CREEK,VIC,3995.0,-33.6145082,150.7114482
lamont@hotmail.com,Sarah,Boyle,3934 Levi Meadow,ALBION,QLD,4010,33 Oliver Estate Dr,ARTHURS CREEK,VIC,3099.0,-27.4302232,153.0420578
tod@yahoo.com,Abbey,Wilderman,77 Lowe Lane,ANTONYMYRE,WA,6714,183 Hugo Pass,ALAWOONA,SA,5311.0,-20.6267825,117.0778005
shantell@hotmail.com,Gemma,Cox,31 Sam Track,AUSTINS FERRY,TAS,7011,18 Skye Parade,ANTONYMYRE,WA,6714.0,-42.7736101,147.2486399
margorie.larkin@gmail.com,Eli,Mayer,522 Scarlett Ridge,AVONDALE,NSW,2530,77 Zac Crescent,ANGURUGU,NT,822.0,-34.5230556,150.7327778
karin@gmail.com,Alice,Nolan,819 Oliver Circuit,ARMSTRONG CREEK,QLD,4520,418 Berge Crescent,AKAROA,TAS,7216.0,-27.2187059,152.8084209
nicolas@gmail.com,Lachlan,Beahan,40 Harber Ridge,ARCADIA SOUTH,VIC,3631,17 Justin Road,ARGENTON,NSW,2284.0,-36.5931025,145.3812744
anthony_collier@hotmail.com,Heidi,Hackett,105 Alex Junction,ANAMBAH,NSW,2320,43 Nicholas Street,ARAMARA,QLD,4620.0,-32.6733333,151.4927778
martin.wisoky@gmail.com,Kayla,White,2834 Piper Court,ARTHURTON,SA,5572,67 Turcotte Pass,ALICE SPRINGS,NT,870.0,-34.2582911,137.7556003
julene_stiedemann@gmail.com,Stella,Garden,61 Turcotte Boulevard,ASHFIELD,QLD,4670,98 Green Track,ARDMONA,VIC,3629.0,-24.8726539,152.3971072
robert@hotmail.com,Nathan,Davies,778 Nicolas Summit,ASHBOURNE,VIC,3442,72 Kovacek Ridge,ASHWOOD,VIC,3147.0,-37.411647,144.460357
morgan.fritsch@gmail.com,Benjamin,Doyle,38 Swift Run,ALYANGULA,NT,885,7321 Garden Knoll,ALCOMIE,TAS,7330.0,-13.8508884,136.4207639
sudie.kertzmann@hotmail.com,Tyler,Hand,17 Ashley Mall,ARALUEN,QLD,4570,51 Madison Mall,APPILA,SA,5480.0,-26.158403,152.6597339
carolyne_huels@hotmail.com,Joel,Taylor,8515 Abigail Circuit,AUGATHELLA,QLD,4477,635 Eliza Place,ARGYLL,QLD,4721.0,-25.799123,146.5885988
shad@gmail.com,Audrey,Sanford,393 Layla Way,ADELONG,NSW,2729,9059 Matthew Road,ARGOON,NSW,2707.0,-35.3074897,148.0631466
